p,cand_old,wit_old,cand_bad,wit_bad,first_l_old,first_l_bad,witnesses_bad
241,26,14,36,22,1447,1447,1447 5303 15907 16871 30367 36151 38561 39043 41453 46273 50129 52057 53503 54949 65071 67481 68927 70373 75193 76157 79531 83869
251,26,13,33,19,4519,4519,4519 9539 12049 14057 27611 31627 35141 39659 42169 45181 46687 47189 48193 69779 70783 74297 90863 91867 92369
257,19,14,31,18,1543,1543,1543 13879 17477 20047 21589 23131 34439 40093 43691 45233 46261 60139 61681 63737 78643 82241 83269 84811
263,23,15,38,19,1579,1579,1579 13151 17359 22093 22619 23671 29983 39451 43133 44711 45763 50497 53653 58913 61543 71011 71537 79427 93629
269,27,17,38,24,2153,2153,2153 3229 5381 10223 11299 20983 21521 24749 37123 38737 40351 43579 61333 65099 66713 69403 69941 79087 84467 88771 94151 97379 98993 100069
271,24,16,39,28,1627,1627,1627 3253 7589 11383 26017 29269 34147 36857 44987 53117 56369 56911 58537 59621 62873 64499 76423 78049 79133 84011 86179 92683 94309 95393 97561 100271 105691 108943
277,29,17,39,23,4987,4987,4987 7757 12743 16067 17729 19391 23269 36011 50969 52631 54293 56509 58171 59833 62603 65927 70913 79777 83101 91411 100829 109139 113017
281,27,15,37,23,563,563,563 3373 5059 8431 15737 22481 30911 33721 34283 35969 39341 50581 59011 62383 74747 80929 83177 97789 101161 101723 103409 106219 114649
283,26,20,40,29,1699,1699,1699 6793 9623 11321 16981 18679 23773 25471 28867 33961 36791 37357 42451 45281 48677 52639 55469 62827 71317 79241 83203 86599 96221 96787 97919 100183 108107 112069 118861
293,28,17,45,28,587,587,587 1759 3517 5861 15823 21683 26371 35747 38677 42193 43951 44537 49811 65633 69149 79111 79697 86143 86729 89659 94933 100207 109583 111341 117787 118373 121889 127163
307,31,18,45,28,1229,1229,1229 7369 12281 14737 23333 27631 28859 29473 38069 46051 47279 56489 69383 69997 78593 81049 82891 87803 99469 102539 104381 116047 117889 124643 128327 128941 130783 137537
311,29,19,39,22,1867,1867,1867 3733 13063 14929 15551 17417 21149 31723 33589 43541 52249 57847 64067 76507 82727 85837 90191 93923 95789 106363 112583 130621
313,30,18,43,27,1879,1879,1879 13147 16903 21911 23789 25667 33179 37561 39439 42569 59471 65731 78877 82007 87641 89519 91397 93901 100787 103291 104543 113933 115811 120193 123323 127079 134591
317,25,15,35,22,8243,8243,8243 9511 15217 23459 40577 44381 53891 55793 58963 66571 68473 82421 91297 93199 95101 109049 110951 116657 119827 123631 135043 148991
331,30,21,41,25,1987,1987,1987 5297 7283 13241 13903 15889 19861 23833 25819 27143 29129 48989 51637 55609 59581 64877 65539 78779 84737 102611 104597 111217 122471 142993 158881
337,29,18,44,28,6067,6067,6067 8089 10111 18199 21569 32353 45833 46507 49877 50551 51899 60661 62683 76837 88969 99079 104471 111211 113233 120647 121321 131431 146933 147607 149629 151651 159739 161761
347,34,22,50,31,2083,2083,2083 2777 6247 13187 16657 17351 25679 27067 31231 41641 52051 54133 69401 71483 72871 79811 81199 85363 89527 102019 106877 112429 122839 131861 137413 142271 156151 158233 158927 161009 172807
349,30,21,48,31,8377,8377,8377 18149 28619 37693 39089 48163 49559 64217 74687 76781 77479 81667 83761 87251 98419 102607 104003 104701 114473 118661 119359 121453 123547 125641 127037 136111 137507 146581 157051 160541 164729
353,29,13,41,23,4943,4943,4943 14827 36713 43067 51539 62129 63541 67777 85427 91781 96017 115079 116491 125669 131317 141907 144731 146849 150379 156733 160969 168029 171559
359,35,18,55,31,719,719,719 11489 15797 19387 22259 24413 45953 73237 79699 82571 86161 92623 94777 96931 97649 103393 118471 125651 129959 132113 140729 145037 148627 151499 157243 162269 168013 170167 176629 177347 190271
367,36,25,52,36,3671,3671,3671 16883 19819 28627 30829 32297 34499 44041 50647 55051 56519 61657 65327 71933 74869 79273 94687 100559 101293 109367 116707 122579 124781 127717 129919 137993 138727 140929 146801 153407 171023 176161 184969 187171 193043 200383
373,36,24,50,34,1493,1493,1493 15667 20143 22381 35809 38047 41777 58189 64157 67141 68633 69379 75347 84299 89521 93251 93997 102203 108917 109663 115631 123091 131297 136519 145471 147709 161137 162629 169343 179041 180533 198437 203659 205151
